ND,NS,height,inc,percentage_of_access,min_duration,max_duration,avg_duration,min_waiting_time,max_waiting_time,avg_waiting_time,frequency,fluence,avg_fluence,fluence_rep
13,150,1886.427,104.138,410.173,5000,10000,6222.772,5000,10000,8189.727,113901,3952517.964,34701.345,29.735
10,151,530.742,97.492,36.435,5000,5000,5000.0,30000,24010000,123422.285,12592,31230.488,2480.184,0.18
11,151,983.512,99.373,121.195,5000,10000,5021.7,20000,3190000,34341.414,41704,334575.141,8022.615,2.129
12,151,1422.746,101.51,292.392,5000,15000,10266.906,10000,45000,23090.975,49212,1340068.262,27230.518,9.306
13,151,1849.93,103.916,408.544,5000,10000,5800.29,5000,20000,7687.308,121712,3655609.421,30034.913,27.501
11,152,951.22,99.229,107.826,5000,5000,5000.0,10000,7035000,39052.436,37265,276027.676,7407.156,1.757
13,152,1813.834,103.7,406.782,20000,30000,24204.4,25000,40000,32322.83,29041,3362219.132,115774.909,25.294
10,153,470.464,97.264,23.33,5000,10000,5412.862,55000,29225000,211103.8,7448,12271.353,1647.603,0.071
11,153,919.28,99.088,96.617,5000,5000,5000.0,5000,9490000,44162.174,33391,225866.378,6764.289,1.437
13,153,1778.131,103.488,406.218,5000,15000,11028.547,10000,20000,14763.303,63648,3358227.619,52762.5,25.264
13,154,1742.815,103.28,402.838,5000,15000,5020.048,5000,40000,6818.568,138665,3067090.407,22118.706,23.074
11,155,856.432,98.814,86.076,5000,10000,5301.917,25000,16275000,53113.927,28054,182313.791,6498.673,1.16
12,155,1288.076,100.82,256.316,5000,10000,5028.153,5000,45000,13608.008,88087,978769.079,11111.39,6.797
13,155,1707.88,103.078,397.945,5000,15000,8672.156,10000,15000,12030.57,79294,2783099.027,35098.481,20.937
11,156,825.512,98.682,86.056,5000,40000,23888.353,170000,11275000,239792.737,6225,182291.686,29283.805,1.16
10,157,353.762,96.838,11.163,5000,5000,5000.0,20000,34280000,411800.622,3858,2666.676,691.206,0.015
11,157,794.922,98.552,77.048,5000,5000,5000.0,20000,13125000,56579.036,26628,144971.109,5444.31,0.922
12,157,1222.892,100.497,207.016,5000,145000,88174.759,5000,530000,316409.023,4057,694425.541,171167.252,4.822
13,157,1639.123,102.686,388.194,0,10000,6372.73,5000,25000,9222.781,105261,2504730.176,23795.424,18.843
11,158,764.654,98.426,68.593,5000,5000,5000.0,10000,15290000,64131.195,23706,112648.838,4751.912,0.717
13,158,1605.289,102.496,373.353,0,10000,5280.754,5000,20000,8156.175,122171,2242451.314,18355.021,16.87
11,159,734.703,98.302,69.01,5000,5000,5000.0,5000,15840000,63701.832,23850,112590.595,4720.779,0.716
13,159,1571.81,102.311,358.168,5000,25000,15644.969,5000,40000,25852.018,39560,1994957.686,50428.657,15.008
14,159,1974.083,104.682,413.836,5000,10000,6837.923,5000,10000,8859.187,104580,4254214.324,40679.043,34.467
11,160,705.065,98.18,59.962,5000,5000,5000.0,10000,17325000,74046.665,20723,85655.043,4133.332,0.545
13,160,1538.681,102.129,357.968,0,15000,11059.717,5000,25000,18291.226,55930,1993888.552,35649.714,15.0
11,161,675.734,98.061,59.904,5000,10000,5019.152,30000,17650000,74370.605,20624,85620.538,4151.5,0.545
12,161,1096.587,99.893,158.206,5000,10000,5040.563,10000,100000,25227.251,54236,484815.434,8938.996,3.366
13,161,1505.894,101.951,340.225,5000,10000,5018.095,5000,30000,8993.7,117158,1761842.759,15038.177,13.254
11,162,646.706,97.945,51.822,5000,30000,18212.324,170000,20235000,314798.616,4917,63547.041,12923.945,0.404
13,162,1473.446,101.778,314.479,5000,10000,7274.893,5000,35000,14701.527,74698,1544639.408,20678.457,11.62
11,163,617.974,97.831,44.071,5000,5000,5000.0,20000,22000000,101326.001,15231,45543.294,2990.171,0.289
12,163,1035.377,99.609,136.611,5000,15000,9852.462,20000,910000,58662.089,23960,403258.776,16830.499,2.8
13,163,1441.329,101.607,314.299,5000,150000,105417.313,5000,475000,213200.349,5152,1543624.26,299616.51,11.612
14,163,1836.993,103.838,408.472,5000,10000,7964.164,5000,15000,10558.47,88627,3654280.671,41232.137,29.606
11,164,589.534,97.719,44.094,5000,5000,5000.0,10000,21900000,101267.226,15239,45525.474,2987.431,0.289
13,164,1409.539,101.441,294.768,5000,10000,6454.457,5000,30000,14347.399,78916,1339575.305,16974.698,10.077
13,165,1378.071,101.277,294.615,5000,10000,5053.553,5000,30000,11241.723,100740,1338821.281,13289.867,10.072
14,165,1770.531,103.443,402.824,5000,15000,8335.189,5000,15000,11322.236,83511,3068381.645,36742.245,24.859
11,166,533.514,97.503,36.174,5000,5000,5000.0,10000,30460000,124241.66,12502,31637.495,2530.594,0.201
13,166,1346.919,101.117,275.497,5000,20000,8473.984,5000,30000,20746.911,56179,1149581.521,20462.833,8.648
11,167,505.923,97.398,29.794,5000,5000,5000.0,30000,26925000,151823.523,10297,20373.093,1978.546,0.129
12,167,916.634,99.076,96.571,5000,5000,5000.0,5000,8770000,44183.496,33375,225806.272,6765.731,1.568
13,167,1316.078,100.961,256.16,0,15000,7566.063,5000,30000,20493.82,58504,978584.227,16726.791,7.362
14,167,1705.398,103.063,397.867,5000,15000,9460.26,10000,15000,13128.465,72674,2782606.701,38288.888,22.544
11,168,478.607,97.295,29.736,5000,20000,13910.395,170000,26445000,423425.399,3694,20351.129,5509.239,0.129
13,168,1285.543,100.807,253.087,5000,10000,5000.171,5000,30000,13768.507,87464,975951.498,11158.322,7.342
11,169,451.56,97.194,23.289,5000,5000,5000.0,20000,28870000,195342.942,8049,12274.495,1524.971,0.078
12,169,859.024,98.825,86.171,5000,10000,5094.252,25000,11380000,51044.168,29230,182424.684,6241.008,1.266
14,169,1641.553,102.699,388.284,5000,10000,6770.689,5000,30000,9794.996,99097,2505027.53,25278.54,20.295
15,169,2018.699,104.965,415.465,5000,10000,6258.008,5000,10000,8051.56,114721,4547301.108,39637.913,39.473
11,170,424.778,97.095,17.537,5000,5000,5000.0,10000,31145000,260693.894,6061,6497.971,1072.095,0.041
13,170,1225.374,100.509,232.91,5000,365000,221015.925,5000,1265000,680197.802,1821,826045.528,453621.926,6.214
11,171,398.258,96.998,17.537,5000,5000,5000.0,5000,32785000,260634.488,6061,6493.224,1071.312,0.041
13,171,1195.729,100.365,206.97,5000,10000,6272.602,10000,70000,22518.328,57017,694259.187,12176.354,5.223
14,171,1578.955,102.35,373.098,5000,15000,11366.425,10000,25000,17575.546,56721,2241326.014,39514.924,18.158
